URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,32,8,0.5999999850000004,0.053404539314546674,39.7,29.72292191435768,27.769168765743075,236,794,1291,2,7.472727272727273
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,2,0,0.99999950000025,0.024999999687500003,29.666666666666668,25.842696629213485,22.203745318352063,23,89,149,1,8.203389830508474
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,3,0,0.9999996666667778,0.03703703657978967,30.333333333333332,29.67032967032967,24.001465201465205,27,91,151,1,8.39655172413793
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,2,0,0.99999950000025,0.02409638525185078,30.333333333333332,29.67032967032967,24.001465201465205,27,91,154,1,8.288135593220339
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,3,0,0.9999996666667778,0.03703703657978967,30.0,31.11111111111111,24.444444444444446,28,90,157,1,8.333333333333334
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,2,0,0.99999950000025,0.025316455375741072,29.333333333333332,29.545454545454547,23.55151515151515,26,88,148,1,8.464285714285714
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,2,0,0.99999950000025,0.024999999687500003,29.666666666666668,28.08988764044944,23.102621722846443,25,89,149,1,8.016666666666667
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,1,0,0.9999990000010001,0.012499999843750002,30.0,27.77777777777778,23.111111111111114,25,90,152,1,8.2
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,1,0,0.9999990000010001,0.011235954929933092,33.666666666666664,30.693069306930692,25.743894389438942,31,101,180,1,8.25
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,2,0,0.99999950000025,0.023529411487889278,35.0,26.666666666666668,24.66666666666667,28,105,162,1,8.983050847457626
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,3,0,0.9999996666667778,0.03614457787777617,30.666666666666668,31.521739130434785,24.875362318840583,29,92,162,1,8.222222222222221
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,17,4,0.6190475895691624,0.03608247416480675,19.41176470588235,21.06060606060606,16.188948306595364,139,660,962,1,8.321621621621622
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,17,2,0.7894736426592819,0.0487179485930309,25.176470588235293,24.299065420560748,19.79021440351842,104,428,629,5,7.75
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,4,2,0.33333327777778704,0.02631578935826408,31.125,21.686746987951807,21.124698795180723,54,249,355,2,7.638888888888889
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,16,4,0.5999999700000015,0.033955857327748966,19.677419354838708,22.131147540983605,16.723426758328923,135,610,854,16,7.397626112759644
bctech2026,https://insights.blackcoffer.com/text-summarizing-tool-to-scrape-and-summarize-pubmed-medical-papers/,28,2,0.8666666377777787,0.06085192685425573,23.863636363636363,25.142857142857146,19.602597402597407,132,525,748,5,7.718446601941747
bctech2027,https://insights.blackcoffer.com/7up7down-10updown-snakes-and-ladder-games-built-using-oops/,15,1,0.8749999453125034,0.0347071582761233,21.90909090909091,25.311203319502074,18.888117691437195,122,482,678,3,7.35
bctech2028,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function/,18,8,0.3846153698224858,0.04113924044123538,21.903225806451612,22.23858615611193,17.656724785025414,151,679,932,1,7.677333333333333
bctech2029,https://insights.blackcoffer.com/end-to-end-tool-to-optimize-routing-and-planning-of-field-engineers-using-googles-cvrp-tw-algorithm/,28,7,0.5999999828571434,0.06317689519282149,24.5,24.65986394557823,19.663945578231292,145,588,820,9,7.961904761904762
bctech2030,https://insights.blackcoffer.com/end-to-end-tool-to-predict-biofuel-prices-using-ieso-data/,24,9,0.45454544077135034,0.0567010308304106,20.129032258064516,23.23717948717949,17.3464846980976,145,624,867,5,7.495774647887324
bctech2031,https://insights.blackcoffer.com/etl-discovery-tool-using-llma-langchain-openai/,22,4,0.6923076656804744,0.04006163322024402,18.102564102564102,25.495750708215297,17.43932592431176,180,706,1036,9,7.748201438848921
bctech2032,https://insights.blackcoffer.com/gpt-ocr-api/,3,0,0.9999996666667778,0.012448132728430985,27.77777777777778,19.2,18.79111111111111,48,250,327,4,6.673469387755102
bctech2033,https://insights.blackcoffer.com/dockerize-the-aws-lambda-for-serverless-architecture/,9,3,0.4999999583333368,0.031249999918619792,17.782608695652176,29.3398533007335,18.84898479855427,120,409,714,2,8.267441860465116
bctech2034,https://insights.blackcoffer.com/design-and-develop-a-product-recommendation-engine-based-on-the-features-of-products/,19,0,0.9999999473684238,0.057575757401285586,22.933333333333334,25.581395348837212,19.40589147286822,88,344,520,1,7.572115384615385
bctech2035,https://insights.blackcoffer.com/database-discovery-tool-using-openai/,15,5,0.4999999750000012,0.046620046511375184,18.166666666666668,28.899082568807337,18.8262996941896,126,436,672,5,7.196153846153846
bctech2036,https://insights.blackcoffer.com/automate-the-data-management-process/,26,8,0.5294117491349486,0.05255023175803673,17.31578947368421,23.252279635258358,16.227227643577027,153,658,841,1,7.121037463976945
bctech2037,https://insights.blackcoffer.com/realtime-kibana-dashboard-for-a-financial-tech-firm/,18,13,0.1612903173777317,0.03668639048912853,34.16,15.690866510538642,19.940346604215456,134,854,987,9,6.503267973856209
bctech2038,https://insights.blackcoffer.com/data-management-etl-and-data-automation/,9,0,0.9999998888889013,0.028124999912109375,26.615384615384617,15.606936416184972,16.888928412627838,54,346,339,6,7.280254777070064
bctech2039,https://insights.blackcoffer.com/data-management-egeas/,6,0,0.9999998333333611,0.02489626545686197,19.833333333333332,15.966386554621847,14.319887955182072,38,238,275,5,6.454545454545454
bctech2040,https://insights.blackcoffer.com/design-and-develop-powershell-script/,4,0,0.9999997500000625,0.021390374217163773,98.0,12.244897959183673,44.097959183673474,24,196,251,5,6.931623931623932
bctech2041,https://insights.blackcoffer.com/design-and-develop-jenkins-shared-library/,4,0,0.9999997500000625,0.056338027375520745,24.333333333333332,21.91780821917808,18.500456621004567,16,73,100,1,6.826086956521739
bctech2042,https://insights.blackcoffer.com/design-and-develop-retool-app-for-wholecell-io-and-asana-data-using-their-apis/,4,0,0.9999997500000625,0.02515723254618093,56.333333333333336,17.159763313609467,29.397238658777123,29,169,197,4,6.373626373626373
